time,Sensor_alpha,Sensor_beta,Sensor_gamma,Sensor_alpha_plus,Sensor_beta_plus,Sensor_gamma_plus,Insect,Species,s_Diptera,s_Hymenoptera,s_Lepidoptera
22.433333333333334,119.91099509914544,242.83832442154588,-316.8192224546028,250.19504806941768,-53.54777743704835,-112.04998339216505,2,Diptera,1,0,0
10.266666666666667,-90.79053622505052,-269.47076686616987,-182.58184393846824,95.39494140607356,37.29194409615111,48.52518002541007,0,Lepidoptera,0,0,1
21.7,-20.02800301547547,-147.07021163438992,50.280871737663226,-90.7503861661937,-50.47655566005774,85.39900868624007,1,Hymenoptera,0,1,0
21.283333333333335,-21.25856746937925,0.4670702736566667,-86.164153237189,-21.813528704670905,-209.2560055535453,16.291881762106446,0,Lepidoptera,0,0,1
18.266666666666666,-58.15450100249657,-13.05119505919372,-156.50116710707042,48.39293778406268,-110.00885993603204,-10.28513787880428,2,Diptera,1,0,0
21.383333333333333,-46.761030939446464,237.8630743022891,208.00869995051545,-125.72918514073628,-33.29874912265272,-1.3628399904312107,1,Hymenoptera,0,1,0
21.166666666666668,108.26810104035738,-26.19656881554494,-96.56849085198188,117.4327061493462,-96.70775996378622,70.6399466476045,0,Lepidoptera,0,0,1
7.566666666666666,-103.67332867715037,-234.69671090707288,-103.49940043746062,98.08118694877292,-28.15625282424015,45.06858288378315,0,Lepidoptera,0,0,1
20.2,-146.49215471865992,12.444229323907086,-42.47303725467463,60.35694148472584,-73.82274208900303,-31.02291524216172,0,Lepidoptera,0,0,1
21.016666666666666,-60.92406619491523,-66.59859084962693,-63.17352045423623,-104.8309567202301,123.15530636286404,158.86695483667722,1,Hymenoptera,0,1,0
21.316666666666666,257.203233913599,104.38888394347408,117.47456823440096,-76.46865517140937,-139.06810289809331,-69.41084016851157,1,Hymenoptera,0,1,0
21.9,-206.58930294170275,-158.1656064456826,90.26989082696312,25.266183719982976,-15.321192282049584,-134.62430840540068,0,Lepidoptera,0,0,1
2.816666666666667,73.6543047828517,-37.69700920975964,-60.15337115798394,40.239077740543216,-14.411596765775354,-151.78983290240052,0,Lepidoptera,0,0,1
19.25,-49.12668500792392,334.05621462511226,-105.01368214890658,51.2848273631282,-101.20246985744728,135.2941411378519,2,Diptera,1,0,0
19.466666666666665,17.478872809675714,-148.0742454359648,26.114064847755685,-5.159567044053692,86.03718684963916,53.17628371737168,0,Lepidoptera,0,0,1
23.4,-22.67928440786732,150.69995642250294,-208.01582656612743,214.09797848722388,16.832217415435284,-140.14257498874585,2,Diptera,1,0,0
21.616666666666667,-83.06108207556476,-117.0363666344106,-90.92501245795802,-2.855683507721929,-2.398883348056837,-123.67409935124228,0,Lepidoptera,0,0,1
21.85,-149.06170167001684,-45.71764908927246,-108.8554545065898,-83.07582837425169,-30.57709176482276,33.20719641813308,1,Hymenoptera,0,1,0
21.666666666666668,-144.6891036875388,3.446513105670579,-171.35617432096396,-82.82765900806615,-104.50341890246548,157.54092709514464,1,Hymenoptera,0,1,0
21.916666666666668,149.38565041434492,32.151180041613294,96.40568246720034,-22.466442357109585,-86.61385636069751,-185.62144389023624,1,Hymenoptera,0,1,0
21.483333333333334,40.86952257647752,-164.8724908477364,88.57175743572165,-138.64703283213012,68.7429759823253,-75.22257320498238,1,Hymenoptera,0,1,0
20.766666666666666,29.681301941414297,-27.605619763261096,-23.74208556756656,-13.38472733058058,101.08601515338664,79.03090239463052,0,Lepidoptera,0,0,1
7.316666666666666,-35.407063566859684,127.24918131181924,-42.35004682367555,-61.18787048804886,85.06567956935741,11.662520561125865,2,Diptera,1,0,0
21.166666666666668,34.02151429382775,-92.30293819987236,-55.989655166272215,1.4338376026833966,-2.506413789833943,-55.55705976514282,1,Hymenoptera,0,1,0
20.283333333333335,-13.992370971451772,37.39407587020285,130.66217925381594,112.12076257528264,134.745360561374,-106.26427119607528,0,Lepidoptera,0,0,1
21.416666666666668,-47.30390868816499,-16.804636873196554,74.10310417770796,-12.297079278863954,-88.94739609045776,-11.33141329285954,1,Hymenoptera,0,1,0
5.9,-63.41909516848928,-162.52545237308627,77.70312625586853,112.92433358523203,51.491729317727966,91.5790378914572,0,Lepidoptera,0,0,1
21.05,13.710073174684071,240.88276688217496,57.57624684663853,-190.580067430868,67.31515987595365,-45.43784315772725,1,Hymenoptera,0,1,0
21.916666666666668,103.52051955476604,50.11293864951952,95.5531618082348,-43.37607757960238,0.9760670381030102,-50.5855318573436,1,Hymenoptera,0,1,0
19.1,-7.436910857872238,156.73766544304888,46.64240950464864,-141.9290302620504,32.494575964620495,-7.758705825116813,1,Hymenoptera,0,1,0
21.883333333333333,249.48730770791107,-136.68817868431208,-73.80902250206162,8.54747252012713,-52.09048884645004,75.36632988908197,1,Hymenoptera,0,1,0
22.466666666666665,-33.1064101858817,-62.80910882773393,-107.51428188453676,127.17668274693705,-213.6667779405157,-111.42225599251609,0,Lepidoptera,0,0,1
21.4,38.12276664688491,149.71415544681386,169.22079712521202,-70.0801321926709,-86.05031181429369,-47.87703256243344,1,Hymenoptera,0,1,0
20.966666666666665,26.34781298858131,21.795331458645308,93.56706238052207,209.95958760237988,197.1856630294772,-6.873150615346344,0,Lepidoptera,0,0,1
22.3,-77.00771238928357,81.26577857550966,-18.599193136640444,-7.446604397421764,-52.83049392250635,57.97571174321515,0,Lepidoptera,0,0,1
21.016666666666666,-17.703563071373267,-89.05903367616278,-72.20698746335137,61.94598696358828,-85.57381705200416,-24.11628665503409,0,Lepidoptera,0,0,1
22.433333333333334,185.3799708511117,-53.835967767997815,-9.198638424173575,125.26003223135646,10.487186110783092,-95.21824936398129,0,Lepidoptera,0,0,1
20.516666666666666,219.99357411113544,-141.6745670168293,-128.81133280304056,54.456740465054,60.370047355426735,70.73013716328923,0,Lepidoptera,0,0,1
21.616666666666667,7.0763086324715205,40.07979881213235,-9.812289742252212,-45.47809740369529,-196.3574494906917,-57.83600975545497,0,Lepidoptera,0,0,1
21.066666666666666,-11.400691759135636,-26.070571022514905,-134.37218158724096,-88.89969259544131,-70.95676978853545,184.76827709490317,1,Hymenoptera,0,1,0
5.383333333333334,91.3103337366641,-110.14211438127369,-126.52000351704524,109.64888115699335,19.62883978927359,74.90393090457013,0,Lepidoptera,0,0,1
